acc,f1,val_acc,n_edges,backbone,cell,emb,graph,seed
0.8469991546914624,0.8455650335053981,0.851585623678647,16908,rgcn,M1,iter_-1,original,1
0.8512256973795436,0.8502600570744729,0.851585623678647,8454,rgcn,M2,iter_-1,aux_50,1
0.8588334742180896,0.8577339661677011,0.8659619450317124,16908,rgcn,M3,finetuned,original,1
0.8546069315300084,0.8532198773105267,0.8634249471458774,8454,rgcn,M4,finetuned,aux_50,1
0.849535080304311,0.8477244064423567,0.8562367864693446,16908,rgcn,M1,iter_-1,original,2
0.849535080304311,0.8476089159067883,0.8549682875264271,8454,rgcn,M2,iter_-1,aux_50,2
0.8579881656804734,0.8560577090213801,0.8659619450317124,16908,rgcn,M3,finetuned,original,2
0.8537616229923922,0.8516238014971091,0.8668076109936576,8454,rgcn,M4,finetuned,aux_50,2
0.8655959425190194,0.8628963659304063,0.853276955602537,16908,rgcn,M1,iter_-1,original,3
0.8672865595942519,0.8645549911942623,0.8528541226215645,8454,rgcn,M2,iter_-1,aux_50,3
0.8664412510566357,0.8641084026917463,0.8701902748414376,16908,rgcn,M3,finetuned,original,3
0.8664412510566357,0.8637915153352416,0.8697674418604651,8454,rgcn,M4,finetuned,aux_50,3
