node_idx,label,pred_full,conf_full,is_correct_full,gate,u_text,conf_text,conf_graph,homophily
4076,1,1,0.743855357170105,True,0.16594155132770538,0.575911819934845,0.7974838018417358,0.9726357460021973,0.0
3876,1,1,0.7781792879104614,True,0.16193655133247375,0.5772184729576111,0.8024589419364929,0.9917078614234924,0.0
1884,1,1,0.9844554662704468,True,0.22585706412792206,0.38930410146713257,0.9093865752220154,0.9999996423721313,0.0
673,1,0,0.5133450031280518,False,0.09756824374198914,0.8132730722427368,0.5212951898574829,0.9093422889709473,0.0
7876,1,1,0.9644748568534851,True,0.1851201355457306,0.4917406737804413,0.8467667102813721,0.9999967813491821,0.0
4722,1,1,0.9920869469642639,True,0.2600565552711487,0.2985665798187256,0.9483981132507324,1.0,0.0
5560,0,0,0.6559733152389526,True,0.09564467519521713,0.7535548806190491,0.5387901663780212,0.9502679109573364,0.0
918,0,0,0.6707562804222107,True,0.09841309487819672,0.7600867748260498,0.55230313539505,0.9466432332992554,0.0
7821,0,1,0.7431946396827698,False,0.10570158809423447,0.7158655524253845,0.6227661967277527,0.9863592982292175,0.0
6299,1,1,0.8471508622169495,True,0.18503671884536743,0.5052340626716614,0.849221408367157,0.9980886578559875,0.0
1221,0,1,0.6159287691116333,False,0.09348137676715851,0.8085802793502808,0.5362761616706848,0.948948085308075,0.0
2423,0,1,0.5061408877372742,False,0.2023761123418808,0.5099076628684998,0.8337988257408142,0.934532880783081,0.0
1458,0,0,0.9996083378791809,True,0.23529258370399475,0.22980265319347382,0.9715619683265686,0.9999990463256836,0.0
6422,1,1,0.5447708964347839,True,0.15151575207710266,0.6248800158500671,0.7200554609298706,0.9261550903320312,0.0
7152,1,1,0.9727957248687744,True,0.2540323734283447,0.31492024660110474,0.9422540664672852,0.999998927116394,0.0
6872,0,0,0.8997323513031006,True,0.16368409991264343,0.44814199209213257,0.873818039894104,0.9963616728782654,0.0
3663,1,1,0.9121255278587341,True,0.24154727160930634,0.3575034439563751,0.9312198162078857,0.9996716976165771,0.0
1189,0,0,0.9974501729011536,True,0.21338507533073425,0.294612854719162,0.9524306058883667,0.9999868869781494,0.0
6819,1,1,0.9260869026184082,True,0.21416445076465607,0.4335099160671234,0.8977213501930237,0.9998267292976379,0.0
5261,0,0,0.689875066280365,True,0.10042029619216919,0.7801550030708313,0.6240971088409424,0.9619598984718323,0.0
912,1,1,0.9903360605239868,True,0.26467469334602356,0.2920878827571869,0.9549323320388794,0.9999997615814209,0.0
4972,0,0,0.7873678803443909,True,0.09861092269420624,0.7153511643409729,0.6219534873962402,0.9801529049873352,0.0
8116,1,1,0.9679247736930847,True,0.26943910121917725,0.27701038122177124,0.9588043689727783,0.9999985694885254,0.0
7446,0,0,0.9755664467811584,True,0.1249072328209877,0.6015535593032837,0.781175971031189,0.999451220035553,0.0
5653,1,1,0.5831819772720337,True,0.1308678835630417,0.7038431167602539,0.6752091646194458,0.9327534437179565,0.0
45,0,0,0.9957756400108337,True,0.16843459010124207,0.4207112491130829,0.8848932981491089,0.9999836683273315,0.0
